team_city,team_name,Team,logo_url,park_name,h_wins2017,h_loss2017,r_wins2017,r_loss2017,h_wins2018,h_loss2018,r_wins2018,r_loss2018,h_wins2019,h_loss2019,r_wins2019,r_loss2019
Arizona,Diamondbacks,ARI,https://upload.wikimedia.org/wikipedia/en/5/54/Arizona_Diamondbacks_logo_%28low_res%29.svg,Chase Field,52,29,41,40,40,41,42,39,44,37,41,40
Atlanta,Braves,ATL,https://upload.wikimedia.org/wikipedia/en/f/f2/Atlanta_Braves.svg,SunTrust Park,37,44,35,46,43,38,47,34,50,31,47,34
Baltimore,Orioles,BAL,https://upload.wikimedia.org/wikipedia/en/7/75/Baltimore_Orioles_cap.svg,Camden Yards,46,35,29,52,28,53,19,62,25,56,29,62
Boston,Red Sox,BOS,https://upload.wikimedia.org/wikipedia/en/6/6d/RedSoxPrimary_HangingSocks.svg,Fenway Park,48,33,45,36,57,24,51,30,38,43,46,33
Chicago,Cubs,CHC,https://upload.wikimedia.org/wikipedia/commons/8/80/Chicago_Cubs_logo.svg,Wrigley Field,48,33,44,37,51,31,44,37,51,30,32,48
Chicago,White Sox,CWS,https://upload.wikimedia.org/wikipedia/commons/c/c1/Chicago_White_Sox.svg,Guaranteed Rate Field,39,42,28,53,30,51,32,49,39,41,33,48
Cincinnatti,Reds,CIN,https://upload.wikimedia.org/wikipedia/commons/0/01/Cincinnati_Reds_Logo.svg,Great American Ballpark,39,42,29,52,37,44,30,51,48,31,34,47
Cleveland,Indians,CLE,https://upload.wikimedia.org/wikipedia/commons/e/ee/Cleveland_Indians_primary_logo.svg,Progressive Field,49,32,53,28,49,32,41,38,49,32,44,37
Colorado,Rockies,COL,https://upload.wikimedia.org/wikipedia/commons/3/31/Colorado_Rockies_logo.svg,Coors Field,46,35,41,40,47,34,44,38,43,38,28,53
Detroit,Tigers,DET,https://upload.wikimedia.org/wikipedia/commons/e/e3/Detroit_Tigers_logo.svg,Comerica Park,34,47,30,51,38,43,26,55,22,59,25,54
Houston,Astros,HOU,https://upload.wikimedia.org/wikipedia/commons/6/6b/Houston-Astros-Logo.svg,Minute Maid Park,47,31,53,28,46,35,57,24,60,21,45,34
Kansas City,Royals,KC,https://upload.wikimedia.org/wikipedia/en/1/1c/Kansas_City_Royals.svg,Kauffman Stadium,43,38,37,44,32,49,26,55,30,50,28,53
Los Angeles,Angels,LAA,https://upload.wikimedia.org/wikipedia/commons/8/8b/Los_Angeles_Angels_of_Anaheim.svg,Angel Stadium of Anaheim,43,38,37,44,42,39,38,43,38,41,34,47
Los Angeles,Dodgers,LAD,https://upload.wikimedia.org/wikipedia/en/a/a0/Los_Angeles_Dodgers_logo_%28low_res%29.svg,Dodger Stadium,57,24,47,34,45,37,45,33,59,22,47,34
Miami,Marlins,MIA,https://upload.wikimedia.org/wikipedia/en/f/fd/Marlins_team_logo.svg,Marlins Park,42,36,35,49,38,43,25,55,30,51,27,54
Milwaukee,Brewers,MIL,https://upload.wikimedia.org/wikipedia/en/b/b8/Milwaukee_Brewers_logo.svg,Miller Park,46,38,40,38,51,30,45,37,49,32,40,41
Minnesota,Twins,MIN,https://upload.wikimedia.org/wikipedia/en/b/b4/Minnesota_Twins_logo_%28low_res%29.svg,Target Field,41,40,44,37,48,31,29,52,46,35,55,26
New York,Mets,NYM,https://upload.wikimedia.org/wikipedia/en/7/7b/New_York_Mets.svg,Citi Field,37,44,33,48,37,44,39,41,48,33,38,43
New York,Yankees,NYY,https://upload.wikimedia.org/wikipedia/en/2/25/NewYorkYankees_PrimaryLogo.svg,Yankee Stadium,51,30,38,40,53,28,47,34,55,24,46,35
Oakland,Athletics,OAK,https://upload.wikimedia.org/wikipedia/commons/a/a4/Oakland_A%27s_logo.svg,RingCentral Coliseum,46,35,29,52,50,31,47,34,52,29,45,36
Philadelphia,Phillies,PHI,https://upload.wikimedia.org/wikipedia/en/f/f0/Philadelphia_Phillies_%282019%29_logo.svg,Citizens Bank Park,39,42,27,54,49,31,31,50,45,36,36,45
